alpha,beta,num_topics,coherence
0.1,0.1,5,0.43865238933977213
0.1,0.1,6,0.4320023722095511
0.1,0.1,7,0.43629889380026954
0.1,0.1,8,0.43784118283538553
0.1,0.1,9,0.4185355512916717
0.1,0.1,10,0.4142422902687957
0.1,0.1,11,0.44071895338623146
0.1,0.1,12,0.42384963659829317
0.1,0.1,13,0.4127879571470236
0.1,0.1,14,0.4279697865884162
0.1,0.1,15,0.44568786829226215
0.1,0.5,5,0.459658640567448
0.1,0.5,6,0.43706369710733206
0.1,0.5,7,0.44586425542916414
0.1,0.5,8,0.44015545095810604
0.1,0.5,9,0.4457093173548146
0.1,0.5,10,0.4573140043534198
0.1,0.5,11,0.42716333161067505
0.1,0.5,12,0.44440063173045163
0.1,0.5,13,0.4417697888188598
0.1,0.5,14,0.43608991106414
0.1,0.5,15,0.44492209367472063
0.1,1.0,5,0.4617403836082544
0.1,1.0,6,0.45296771593177015
0.1,1.0,7,0.4485986236370327
0.1,1.0,8,0.4484536678649712
0.1,1.0,9,0.4432418108472656
0.1,1.0,10,0.4374940720639041
0.1,1.0,11,0.4441104256522944
0.1,1.0,12,0.43831400115395974
0.1,1.0,13,0.45271743254035485
0.1,1.0,14,0.44765655673952315
0.1,1.0,15,0.4310076577075206
0.1,symmetric,5,0.44971785575778667
0.1,symmetric,6,0.41430021407727075
0.1,symmetric,7,0.4477275621286697
0.1,symmetric,8,0.4539052014732532
0.1,symmetric,9,0.43610824409227894
0.1,symmetric,10,0.4245438736476229
0.1,symmetric,11,0.42662961706863256
0.1,symmetric,12,0.41640915402798123
0.1,symmetric,13,0.4356520002063743
0.1,symmetric,14,0.4230669735433455
0.1,symmetric,15,0.430349080602151
0.1,auto,5,0.4639993353908635
0.1,auto,6,0.4421745426394268
0.1,auto,7,0.43073337681649926
0.1,auto,8,0.43423061982445277
0.1,auto,9,0.4206958149419249
0.1,auto,10,0.4130283349934046
0.1,auto,11,0.41058684133678974
0.1,auto,12,0.4212865508009207
0.1,auto,13,0.4311937146019475
0.1,auto,14,0.4238801031487209
0.1,auto,15,0.41771043934671886
0.5,0.1,5,0.4642135294271993
0.5,0.1,6,0.46233528547621144
0.5,0.1,7,0.44495217271732823
0.5,0.1,8,0.4641019414243326
0.5,0.1,9,0.44719443766303324
0.5,0.1,10,0.46135745063786215
0.5,0.1,11,0.45136652043373277
0.5,0.1,12,0.452526908808842
0.5,0.1,13,0.45831126032249886
0.5,0.1,14,0.45697545286729774
0.5,0.1,15,0.4597392015412661
0.5,0.5,5,0.45998561142186495
0.5,0.5,6,0.46472840977901253
0.5,0.5,7,0.46119102499070835
0.5,0.5,8,0.4661577315421503
0.5,0.5,9,0.4619971440559972
0.5,0.5,10,0.45937783906931917
0.5,0.5,11,0.4547242280974721
0.5,0.5,12,0.4590152986928378
0.5,0.5,13,0.4433847647968496
0.5,0.5,14,0.4624376490775252
0.5,0.5,15,0.45863221500135715
0.5,1.0,5,0.4667237024647548
0.5,1.0,6,0.4601524247556396
0.5,1.0,7,0.46376830033829053
0.5,1.0,8,0.4725721679567119
0.5,1.0,9,0.4723540563226751
0.5,1.0,10,0.46901935026798985
0.5,1.0,11,0.4689089506376469
0.5,1.0,12,0.46965592804506096
0.5,1.0,13,0.46278454888660736
0.5,1.0,14,0.4762066605771163
0.5,1.0,15,0.47350394635969434
0.5,symmetric,5,0.47236696545513757
0.5,symmetric,6,0.45995381819460257
0.5,symmetric,7,0.4538570906673474
0.5,symmetric,8,0.44592462347091366
0.5,symmetric,9,0.4538266538527702
0.5,symmetric,10,0.4588287822729235
0.5,symmetric,11,0.4485510889676067
0.5,symmetric,12,0.46352935814478097
0.5,symmetric,13,0.4462923779756439
0.5,symmetric,14,0.46101536905636115
0.5,symmetric,15,0.45763725232874736
0.5,auto,5,0.4569850191033268
0.5,auto,6,0.45739198305883716
0.5,auto,7,0.46609331429070927
0.5,auto,8,0.45457659455871097
0.5,auto,9,0.45502904839712
0.5,auto,10,0.45873803975565935
0.5,auto,11,0.44680268521359795
0.5,auto,12,0.45823958863177966
0.5,auto,13,0.4585865534866657
0.5,auto,14,0.45376556535429297
0.5,auto,15,0.45299093942193475
1.0,0.1,5,0.4614213679262999
1.0,0.1,6,0.46034977970287366
1.0,0.1,7,0.46245459267888045
1.0,0.1,8,0.4678865592710215
1.0,0.1,9,0.46690143376316434
1.0,0.1,10,0.4683591417329483
1.0,0.1,11,0.47459921776869274
1.0,0.1,12,0.4722440940141077
1.0,0.1,13,0.467459024522725
1.0,0.1,14,0.4730295882346574
1.0,0.1,15,0.47120892564045597
1.0,0.5,5,0.47235864200242084
1.0,0.5,6,0.47284533377664295
1.0,0.5,7,0.4737947298849096
1.0,0.5,8,0.4642181397902766
1.0,0.5,9,0.4740914668679232
1.0,0.5,10,0.4744518753614219
1.0,0.5,11,0.47190190539983606
1.0,0.5,12,0.4793605729707458
1.0,0.5,13,0.47454820535337583
1.0,0.5,14,0.4824742880343037
1.0,0.5,15,0.4763083184425258
1.0,1.0,5,0.4685691637832238
1.0,1.0,6,0.47556818969443726
1.0,1.0,7,0.47413275058237797
1.0,1.0,8,0.4747314052092852
1.0,1.0,9,0.474490314420546
1.0,1.0,10,0.4756966142559402
1.0,1.0,11,0.47687667023960645
1.0,1.0,12,0.4739416046881946
1.0,1.0,13,0.4781768090955096
1.0,1.0,14,0.47713280721184853
1.0,1.0,15,0.4761174795153435
1.0,symmetric,5,0.47379925486809277
1.0,symmetric,6,0.47433636904365
1.0,symmetric,7,0.46802712336561453
1.0,symmetric,8,0.47556777213456225
1.0,symmetric,9,0.4719909067833894
1.0,symmetric,10,0.4650106305570845
1.0,symmetric,11,0.4703964025762312
1.0,symmetric,12,0.47138115059570734
1.0,symmetric,13,0.46474554944956065
1.0,symmetric,14,0.4721076327237747
1.0,symmetric,15,0.46797848631259265
1.0,auto,5,0.4688658109804951
1.0,auto,6,0.46378031347915855
1.0,auto,7,0.47232315973060085
1.0,auto,8,0.4580603648509458
1.0,auto,9,0.4700057008348398
1.0,auto,10,0.4654445247665374
1.0,auto,11,0.4665828971267532
1.0,auto,12,0.46193176682933884
1.0,auto,13,0.4650838736621284
1.0,auto,14,0.47246564877898983
1.0,auto,15,0.4667534467428298
symmetric,0.1,5,0.4435094963877086
symmetric,0.1,6,0.443477299536208
symmetric,0.1,7,0.45277165498880584
symmetric,0.1,8,0.4153605435244464
symmetric,0.1,9,0.4154082830729469
symmetric,0.1,10,0.40376980806330226
symmetric,0.1,11,0.434573360609952
symmetric,0.1,12,0.41447487839890185
symmetric,0.1,13,0.4236856514748407
symmetric,0.1,14,0.421284485109277
symmetric,0.1,15,0.41625664531110523
symmetric,0.5,5,0.4516179591426325
symmetric,0.5,6,0.45262214437393317
symmetric,0.5,7,0.4482357969572899
symmetric,0.5,8,0.44817253766497855
symmetric,0.5,9,0.4518623118973196
symmetric,0.5,10,0.4418565525836537
symmetric,0.5,11,0.42984686032249436
symmetric,0.5,12,0.45413277948579106
symmetric,0.5,13,0.4317391546054609
symmetric,0.5,14,0.4386495801022729
symmetric,0.5,15,0.43495658068876547
symmetric,1.0,5,0.4570763450838073
symmetric,1.0,6,0.43286745143606514
symmetric,1.0,7,0.4353474470507555
symmetric,1.0,8,0.45581917315782394
symmetric,1.0,9,0.45816540101768083
symmetric,1.0,10,0.450265888817641
symmetric,1.0,11,0.4495887429106693
symmetric,1.0,12,0.45529792735602487
symmetric,1.0,13,0.44327776335563346
symmetric,1.0,14,0.4418262527843129
symmetric,1.0,15,0.4394732822671111
symmetric,symmetric,5,0.43161746391121947
symmetric,symmetric,6,0.4416013251622188
symmetric,symmetric,7,0.4482163386012467
symmetric,symmetric,8,0.4394229756902129
symmetric,symmetric,9,0.44855774606093834
symmetric,symmetric,10,0.4343223954513212
symmetric,symmetric,11,0.4292262239930347
symmetric,symmetric,12,0.4258054259836676
symmetric,symmetric,13,0.4306497121961127
symmetric,symmetric,14,0.4286645596019477
symmetric,symmetric,15,0.4214121023569271
symmetric,auto,5,0.43398922460926437
symmetric,auto,6,0.4398074315781584
symmetric,auto,7,0.4270699178352002
symmetric,auto,8,0.43785225789894944
symmetric,auto,9,0.4368330972441317
symmetric,auto,10,0.44319851645996555
symmetric,auto,11,0.4337328002828112
symmetric,auto,12,0.4048317792699723
symmetric,auto,13,0.4271447120551314
symmetric,auto,14,0.42235377470224705
symmetric,auto,15,0.4218373515018175
asymmetric,0.1,5,0.44199170478411737
asymmetric,0.1,6,0.4375196848101788
asymmetric,0.1,7,0.4213309090990126
asymmetric,0.1,8,0.4068161951483158
asymmetric,0.1,9,0.4444825791404662
asymmetric,0.1,10,0.4385959299307169
asymmetric,0.1,11,0.4305705317415056
asymmetric,0.1,12,0.445547844100102
asymmetric,0.1,13,0.4369009602922758
asymmetric,0.1,14,0.4391148559447434
asymmetric,0.1,15,0.4178170025130543
asymmetric,0.5,5,0.44839926975184996
asymmetric,0.5,6,0.4535147520667595
asymmetric,0.5,7,0.46223631785504266
asymmetric,0.5,8,0.4411438565613014
asymmetric,0.5,9,0.45679782695534776
asymmetric,0.5,10,0.4465912912993071
asymmetric,0.5,11,0.4342573659773075
asymmetric,0.5,12,0.43820152770384363
asymmetric,0.5,13,0.44394993468254546
asymmetric,0.5,14,0.44130122879886946
asymmetric,0.5,15,0.437400277184579
asymmetric,1.0,5,0.45815370298926367
asymmetric,1.0,6,0.4556049274879593
asymmetric,1.0,7,0.44691862438125946
asymmetric,1.0,8,0.4522604481681668
asymmetric,1.0,9,0.456729903527368
asymmetric,1.0,10,0.4339746338070877
asymmetric,1.0,11,0.44481919569923034
asymmetric,1.0,12,0.4520616431146071
asymmetric,1.0,13,0.47210680028346974
asymmetric,1.0,14,0.4495184641094316
asymmetric,1.0,15,0.4407764082769729
asymmetric,symmetric,5,0.45402012696900984
asymmetric,symmetric,6,0.448779768000136
asymmetric,symmetric,7,0.4336528021308453
asymmetric,symmetric,8,0.4364536994734307
asymmetric,symmetric,9,0.41823915853143573
asymmetric,symmetric,10,0.43496289462007776
asymmetric,symmetric,11,0.42819373109963743
asymmetric,symmetric,12,0.4036684363675338
asymmetric,symmetric,13,0.41750024985174494
asymmetric,symmetric,14,0.42098147662866664
asymmetric,symmetric,15,0.4376249540450315
asymmetric,auto,5,0.44395356535378117
asymmetric,auto,6,0.45787381313708436
asymmetric,auto,7,0.42326956250416864
asymmetric,auto,8,0.46595807930943617
asymmetric,auto,9,0.4199205375576901
asymmetric,auto,10,0.420951656471474
asymmetric,auto,11,0.44171932603126773
asymmetric,auto,12,0.43722044993256454
asymmetric,auto,13,0.43059366575241076
asymmetric,auto,14,0.41829548029980373
asymmetric,auto,15,0.41785149566706026
